Mail,Keyword,Lunghezza,Intestazione,Valida?
1,offerta,lunga,si,si
2,offerta,lunga,no,si
3,offerta,corta,no,spam
4,offerta,media,si,si
5,money,media,no,spam
6,money,lunga,si,spam
7,money,corta,no,spam
8,viagra,lunga,si,spam
9,viagra,lunga,no,si
10,viagra,media,no,spam
11,offerta,lunga,si,si
12,offerta,lunga,no,si
13,offerta,corta,no,spam
14,offerta,media,si,si
15,money,media,no,spam
16,money,lunga,si,spam
17,money,corta,no,spam
18,viagra,lunga,si,spam
19,viagra,lunga,no,si
20,viagra,media,no,spam
21,offerta,corta,no,spam
22,offerta,media,no,si
23,money,media,si,spam
24,money,corta,no,spam
25,viagra,lunga,si,spam
26,viagra,lunga,no,si
27,viagra,media,no,spam
28,offerta,corta,no,si
29,money,media,si,si
30,viagra,media,no,spam
31,viagra,corta,no,spam
32,offerta,lunga,si,si
33,money,corta,no,spam
34,money,lunga,si,spam
35,viagra,lunga,si,spam
36,viagra,lunga,no,si
37,viagra,media,no,spam
38,offerta,corta,no,spam
39,offerta,media,no,si
40,money,media,si,spam
41,money,corta,no,spam
42,viagra,lunga,si,spam
43,viagra,lunga,no,si
44,viagra,media,no,spam
45,offerta,corta,no,spam
46,offerta,media,no,si
47,money,media,si,spam
48,money,corta,no,spam
49,viagra,lunga,si,spam
50,viagra,lunga,no,si
51,viagra,media,no,spam
