Hours,Valutazione
2.5,21
5.1,47
3.2,27
8.5,75
3.5,30
1.5,20
9.2,88
5.5,60
8.3,81
2.7,25
7.7,85
5.9,62
4.5,41
3.3,42
1.1,17
8.9,95
2.5,30
1.9,24
6.1,67
7.4,69
2.7,30
4.8,54
3.8,35
6.9,76
7.8,86
2.7,55
9.9,59
5.9,97
5.7,47
9.5,51
3.2,40
4,79
1.2,88
0.4,31
5.5,78
7.6,20
1.8,60
1.2,61
8.4,27
8.8,91
8.5,38
7.9,48
4.8,48
4.2,78
6,38
7.5,12
8.4,76
0.5,57
6.4,94
9.5,38
6,39
0.8,82
2.6,64
0.5,96
6.6,90
1.5,55
0.5,52
4.7,80
7.1,22
1.2,75
7.9,80
2.7,49
3.9,26
1,74
6.4,28
3.6,27
2.2,12
5.6,26
9,62
0,35
6.1,20
5.2,16
4.4,82
0.9,79
9.5,45
5.7,36
7,96
2.5,47
5.7,35
4.3,52
7.1,21
6.5,87
4.1,73
3.2,31
0.8,44
8.7,97
6.7,27
4,14
3.7,42
3.2,27
5.2,65
2.3,93
8.6,76
5.6,53
5.8,96
7.5,70
0.7,62
0.1,11
4.9,53
0.5,26
5,89
5.3,47
8.5,94
2.4,64
0.9,37
9.4,67
6.2,63
0.1,67
0.5,34
7.8,32
7.7,43
9.6,91
0.3,26
8.9,67
9.8,79
4.1,52
9,75
1.7,56
9.7,46
7.9,66
1.6,91
1.9,76
4.1,87
1.8,29
7.1,87
1.2,77
0.9,24
7.7,18
1.2,58
0.5,42
4.8,95
8.7,73
7.5,48
8.2,48
0.5,42
8.4,51
4.5,38
5.1,71
9.6,43
3.1,46
1,42
3,59
9.2,22
8.6,57
2,75
7.1,78
0.7,11
4.3,50
0.3,48
6.6,23
4.4,14
5.3,17
4.4,61
2.1,13
9.7,39
1.4,76
7.2,14
2.7,50
1.7,87
4,44
3.9,71
7.7,86
6.9,12
9.8,54
4.5,65
3.9,57
2.5,29
6.3,65
0,97
6.7,11
6.2,73
3.1,89
9.5,64
9.7,83
2.7,93
1.7,11
4,87
3.9,26
5.8,50
9.7,92
8.7,26
7.2,25
3.5,77
0.8,14
3.5,93
2.2,47
3.5,54
6.2,38
5.2,83
6.2,17
4,42
0.5,63
4.1,88
1.3,59
4.6,63
9.8,15
6.5,21
6.7,100
7.6,42
5.7,65
