Settimana,N_settimana,Vendite,Vendite predette,Errore Residuo,Errore Quad.
05/01/2014,1,"21,30","32,5","11,2","124,36076"
12/01/2014,2,"37,90","32,4","-5,5","30,55641421"
19/01/2014,3,"45,90","32,3","-13,6","185,1582558"
26/01/2014,4,"31,50","32,2","0,7","0,5086712468"
02/02/2014,5,"20,70","32,1","11,4","130,7297406"
09/02/2014,6,"53,30","32,1","-21,2","451,3836141"
16/02/2014,7,"47,30","32,0","-15,3","234,8645662"
23/02/2014,8,"44,20","31,9","-12,3","151,407929"
02/03/2014,9,"1,91","31,8","29,9","894,1601889"
09/03/2014,10,"31,80","31,7","-0,1","0,00406984727"
16/03/2014,11,"36,20","31,7","-4,5","20,6415437"
23/03/2014,12,"26,10","31,6","5,5","29,99974415"
30/03/2014,13,"36,20","31,5","-4,7","22,11161582"
06/04/2014,14,"36,40","31,4","-5,0","24,81833329"
13/04/2014,15,"21,20","31,3","10,1","102,7932089"
20/04/2014,16,"1,47","31,3","29,8","887,4707544"
27/04/2014,17,"22,00","31,2","9,2","84,2668215"
04/05/2014,18,"23,90","31,1","7,2","51,84280721"
11/05/2014,19,"29,60","31,0","1,4","2,018370673"
18/05/2014,20,"35,20","30,9","-4,3","18,13744118"
25/05/2014,21,"33,70","30,9","-2,8","8,055996256"
01/06/2014,22,"25,10","30,8","5,7","32,28728423"
08/06/2014,23,"33,90","30,7","-3,2","10,22279841"
15/06/2014,24,"23,60","30,6","7,0","49,32516498"
22/06/2014,25,"26,10","30,5","4,4","19,74634928"
29/06/2014,26,"37,30","30,5","-6,8","46,72836345"
06/07/2014,27,"30,00","30,4","0,4","0,1479818"
13/07/2014,28,"34,70","30,3","-4,4","19,3144181"
20/07/2014,29,"20,50","30,2","9,7","94,58888259"
27/07/2014,30,"33,10","30,1","-3,0","8,725050303"
03/08/2014,31,"23,20","30,1","6,9","47,15128289"
10/08/2014,32,"28,40","30,0","1,6","2,519133882"
17/08/2014,33,"34,70","29,9","-4,8","22,96636214"
24/08/2014,34,"20,50","29,8","9,3","87,01485883"
31/08/2014,35,"29,00","29,7","0,7","0,5605132419"
07/09/2014,36,"23,60","29,7","6,1","36,83486224"
14/09/2014,37,"22,40","29,6","7,2","51,69138199"
21/09/2014,38,"28,70","29,5","0,8","0,6563765377"
28/09/2014,39,"31,10","29,4","-1,7","2,786664414"
05/10/2014,40,"30,60","29,4","-1,2","1,559580719"
12/10/2014,41,"33,10","29,3","-3,8","14,65613321"
19/10/2014,42,"3,51","29,2","25,7","659,5522402"
26/10/2014,43,"25,20","29,1","3,9","15,30894443"
02/11/2014,44,"34,10","29,0","-5,1","25,67283306"
09/11/2014,45,"29,80","29,0","-0,8","0,7162876818"
16/11/2014,46,"31,30","28,9","-2,4","5,884694945"
23/11/2014,47,"37,50","28,8","-8,7","75,78294855"
30/11/2014,48,"39,60","28,7","-10,9","118,4797733"
07/12/2014,49,"18,30","28,6","10,3","106,8258127"
14/12/2014,50,"30,40","28,6","-1,8","3,399760219"
21/12/2014,51,"1,02","28,5","27,5","753,6696142"
28/12/2014,52,"1,67","28,4","26,7","714,3704423"
04/01/2015,53,"24,70","28,3","3,6","13,08740954"
11/01/2015,54,"32,90","28,2","-4,7","21,73283351"
18/01/2015,55,"38,80","28,2","-10,6","113,2383284"
25/01/2015,56,"32,20","28,1","-4,1","16,98141418"
01/02/2015,57,"29,70","28,0","-1,7","2,891198151"
08/02/2015,58,"31,60","27,9","-3,7","13,54132232"
15/02/2015,59,"44,20","27,8","-16,4","267,628489"
22/02/2015,60,"0,88","27,8","26,9","722,752718"
01/03/2015,61,"31,10","27,7","-3,4","11,68516603"
08/03/2015,62,"23,70","27,6","3,9","15,22670887"
15/03/2015,63,"33,00","27,5","-5,5","30,00146861"
22/03/2015,64,"24,30","27,4","3,1","9,87932371"
29/03/2015,65,"28,90","27,4","-1,5","2,360408391"
05/04/2015,66,"42,10","27,3","-14,8","219,5098046"
12/04/2015,67,"30,40","27,2","-3,2","10,21035422"
19/04/2015,68,"32,00","27,1","-4,9","23,76431562"
26/04/2015,69,"24,90","27,0","2,1","4,603741333"
03/05/2015,70,"1,02","27,0","25,9","673,0143834"
10/05/2015,71,"30,80","26,9","-3,9","15,3144596"
17/05/2015,72,"39,50","26,8","-12,7","161,1089629"
24/05/2015,73,"23,20","26,7","3,5","12,44416095"
31/05/2015,74,"32,50","26,6","-5,9","34,24441737"
07/06/2015,75,"27,70","26,6","-1,1","1,280007564"
14/06/2015,76,"30,50","26,5","-4,0","16,08712152"
21/06/2015,77,"1,51","26,4","24,9","619,9359133"
28/06/2015,78,"41,50","26,3","-15,2","230,1251934"
05/07/2015,79,"28,30","26,3","-2,0","4,199954468"
12/07/2015,80,"24,20","26,2","2,0","3,88531304"
19/07/2015,81,"23,00","26,1","3,1","9,558105134"
26/07/2015,82,"27,80","26,0","-1,8","3,196524489"
02/08/2015,83,"40,20","25,9","-14,3","203,5582432"
09/08/2015,84,"31,70","25,9","-5,8","34,18606548"
16/08/2015,85,"33,60","25,8","-7,8","61,25232286"
23/08/2015,86,"29,00","25,7","-3,3","10,92889239"
30/08/2015,87,"27,70","25,6","-2,1","4,348846229"
06/09/2015,88,"25,30","25,5","0,2","0,05527673067"
