Settimana,N_settimana,Vendite,Vendite predette,Errore Residuo,Errore Quad.
05/01/2014,1,21.30,34.1,12.8,162.9840357
12/01/2014,2,37.90,34.0,-3.9,15.03899238
19/01/2014,3,45.90,34.0,-11.9,142.1471521
26/01/2014,4,31.50,33.9,2.4,5.919089332
02/02/2014,5,20.70,33.9,13.2,173.9334668
09/02/2014,6,53.30,33.8,-19.5,378.5417845
16/02/2014,7,47.30,33.8,-13.5,182.2684787
23/02/2014,8,44.20,33.8,-10.4,109.1025887
09/03/2014,10,31.80,33.7,1.9,3.480886399
16/03/2014,11,36.20,33.6,-2.6,6.650316234
23/03/2014,12,26.10,33.6,7.5,55.90022363
30/03/2014,13,36.20,33.5,-2.7,7.117631017
06/04/2014,14,36.40,33.5,-2.9,8.482207442
13/04/2014,15,21.20,33.4,12.2,149.8921011
27/04/2014,17,22.00,33.4,11.4,128.9127439
04/05/2014,18,23.90,33.3,9.4,88.53757474
11/05/2014,19,29.60,33.3,3.7,13.4315407
18/05/2014,20,35.20,33.2,-2.0,3.918924796
25/05/2014,21,33.70,33.2,-0.5,0.2747452992
01/06/2014,22,25.10,33.1,8.0,64.50185034
08/06/2014,23,33.90,33.1,-0.8,0.6613425172
15/06/2014,24,23.60,33.0,9.4,89.15582513
22/06/2014,25,26.10,33.0,6.9,47.57829501
29/06/2014,26,37.30,33.0,-4.3,18.8949478
06/07/2014,27,30.00,32.9,2.9,8.460151696
13/07/2014,28,34.70,32.9,-1.8,3.37052914
20/07/2014,29,20.50,32.8,12.3,151.7717022
27/07/2014,30,33.10,32.8,-0.3,0.1056043653
03/08/2014,31,23.20,32.7,9.5,90.83038576
10/08/2014,32,28.40,32.7,4.3,18.36948385
17/08/2014,33,34.70,32.6,-2.1,4.237712491
24/08/2014,34,20.50,32.6,12.1,146.3348788
31/08/2014,35,29.00,32.6,3.6,12.61927109
07/09/2014,36,23.60,32.5,8.9,79.34938647
14/09/2014,37,22.40,32.5,10.1,101.2698696
21/09/2014,38,28.70,32.4,3.7,13.82916921
28/09/2014,39,31.10,32.4,1.3,1.623649388
05/10/2014,40,30.60,32.3,1.7,2.991830724
12/10/2014,41,33.10,32.3,-0.8,0.6639693562
26/10/2014,43,25.20,32.2,7.0,48.94525694
02/11/2014,44,34.10,32.2,-1.9,3.796439447
09/11/2014,45,29.80,32.1,2.3,5.322343708
16/11/2014,46,31.30,32.1,0.8,0.5813855784
23/11/2014,47,37.50,32.0,-5.5,30.05284629
30/11/2014,48,39.60,32.0,-7.6,58.1647487
07/12/2014,49,18.30,31.9,13.6,185.7464846
14/12/2014,50,30.40,31.9,1.5,2.203295276
04/01/2015,53,24.70,31.8,7.1,49.7130456
11/01/2015,54,32.90,31.7,-1.2,1.425125507
18/01/2015,55,38.80,31.7,-7.1,50.95561653
25/01/2015,56,32.20,31.6,-0.6,0.3397192158
01/02/2015,57,29.70,31.6,1.9,3.506674014
08/02/2015,58,31.60,31.5,-0.1,0.005172850628
15/02/2015,59,44.20,31.5,-12.7,161.7082688
01/03/2015,61,31.10,31.4,0.3,0.08671565735
08/03/2015,62,23.70,31.3,7.6,58.52159948
15/03/2015,63,33.00,31.3,-1.7,2.871645229
22/03/2015,64,24.30,31.3,7.0,48.45375264
29/03/2015,65,28.90,31.2,2.3,5.365425891
05/04/2015,66,42.10,31.2,-10.9,119.42545
12/04/2015,67,30.40,31.1,0.7,0.5289227223
19/04/2015,68,32.00,31.1,-0.9,0.8413720462
26/04/2015,69,24.90,31.0,6.1,37.67753082
10/05/2015,71,30.80,30.9,0.1,0.02224107213
17/05/2015,72,39.50,30.9,-8.6,73.88089552
24/05/2015,73,23.20,30.9,7.7,58.67661491
31/05/2015,74,32.50,30.8,-1.7,2.837431886
07/06/2015,75,27.70,30.8,3.1,9.431029232
14/06/2015,76,30.50,30.7,0.2,0.05128594447
28/06/2015,78,41.50,30.6,-10.9,117.9961691
05/07/2015,79,28.30,30.6,2.3,5.257215043
12/07/2015,80,24.20,30.5,6.3,40.30126429
19/07/2015,81,23.00,30.5,7.5,56.30691832
26/07/2015,82,27.80,30.5,2.7,7.071661164
02/08/2015,83,40.20,30.4,-9.8,95.75159836
09/08/2015,84,31.70,30.4,-1.3,1.768391042
16/08/2015,85,33.60,30.3,-3.3,10.72132031
23/08/2015,86,29.00,30.3,1.3,1.641276624
30/08/2015,87,27.70,30.2,2.5,6.434284298
06/09/2015,88,25.30,30.2,4.9,23.93220237
13/09/2015,89,34.10,30.1,-4.0,15.62209069
20/09/2015,90,23.90,30.1,6.2,38.47704602
27/09/2015,91,23.50,30.1,6.6,43.01330289
04/10/2015,92,22.00,30.0,8.0,64.22289293
11/10/2015,93,34.40,30.0,-4.4,19.63035266
18/10/2015,94,35.90,29.9,-6.0,35.7024111
25/10/2015,95,30.90,29.9,-1.0,1.03975453
01/11/2015,96,35.60,29.8,-5.8,33.22620483
08/11/2015,97,34.70,29.8,-4.9,24.09584332
15/11/2015,98,42.40,29.7,-12.7,160.1056412
22/11/2015,99,29.90,29.7,-0.2,0.03913270086
29/11/2015,100,28.30,29.7,1.4,1.843202794
06/12/2015,101,29.40,29.6,0.2,0.04541671068
13/12/2015,102,40.20,29.6,-10.6,113.0271362
20/12/2015,103,25.10,29.5,4.4,19.57216359
27/12/2015,104,26.50,29.5,3.0,8.877478191
03/01/2016,105,24.30,29.4,5.1,26.36797484
10/01/2016,106,41.30,29.4,-11.9,141.8375822
17/01/2016,107,50.50,29.3,-21.2,447.4956304
24/01/2016,108,39.70,29.3,-10.4,108.1314352
31/01/2016,109,37.50,29.3,-8.2,67.94969806
07/02/2016,110,34.60,29.2,-5.4,29.02725488
14/02/2016,111,37.10,29.2,-7.9,62.92025447
21/02/2016,112,24.60,29.1,4.5,20.45967361
28/02/2016,113,33.90,29.1,-4.8,23.24490485
06/03/2016,114,33.80,29.0,-4.8,22.71314599
13/03/2016,115,25.10,29.0,3.9,15.12925909
20/03/2016,116,32.90,28.9,-4.0,15.64122811
27/03/2016,117,45.40,28.9,-16.5,272.2313004
03/04/2016,118,30.20,28.9,-1.3,1.806248416
17/04/2016,120,31.50,28.8,-2.7,7.469483477
24/04/2016,121,36.20,28.7,-7.5,55.91404803
08/05/2016,123,21.00,28.6,7.6,58.26821812
22/05/2016,125,33.60,28.5,-5.1,25.56016302
29/05/2016,126,34.60,28.5,-6.1,37.21292888
12/06/2016,128,25.00,28.4,3.4,11.63281835
03/07/2016,131,34.10,28.3,-5.8,33.9062864
17/07/2016,133,25.00,28.2,3.2,10.16348021
24/07/2016,134,38.30,28.1,-10.2,103.1547506
07/08/2016,136,32.40,28.1,-4.3,18.8840732
14/08/2016,137,35.10,28.0,-7.1,50.26973019
21/08/2016,138,27.00,28.0,1.0,0.9319024673
28/08/2016,139,29.20,27.9,-1.3,1.63630947
04/09/2016,140,25.50,27.9,2.4,5.646719911
18/09/2016,142,20.90,27.8,6.9,47.43372536
25/09/2016,143,25.50,27.7,2.2,5.029616042
09/10/2016,145,35.50,27.7,-7.8,61.56579859
16/10/2016,146,38.20,27.6,-10.6,112.1676224
23/10/2016,147,32.80,27.6,-5.2,27.40999719
06/11/2016,149,26.50,27.5,1.0,0.9515535437
13/11/2016,150,37.30,27.4,-9.9,97.39830623
18/12/2016,155,25.40,27.2,1.8,3.269846077
25/12/2016,156,19.10,27.2,8.1,65.02386231
01/01/2017,157,36.74,27.1,-9.6,92.55972705
08/01/2017,158,37.61,27.1,-10.5,110.9931924
22/01/2017,160,41.50,27.0,-14.5,210.6677736
29/01/2017,161,49.19,26.9,-22.2,495.0150159
05/02/2017,162,49.19,26.9,-22.3,496.9986708
26/02/2017,165,32.20,26.8,-5.4,29.56172195
05/03/2017,166,34.60,26.7,-7.9,62.11967095
12/03/2017,167,26.20,26.7,0.5,0.2245457587
19/03/2017,168,19.20,26.6,7.4,55.19492216
02/04/2017,170,29.00,26.5,-2.5,6.050319143
09/04/2017,171,23.40,26.5,3.1,9.583521133
16/04/2017,172,18.40,26.5,8.1,64.82169564
23/04/2017,173,27.00,26.4,-0.6,0.3520546028
30/04/2017,174,25.70,26.4,0.7,0.4384082244
21/05/2017,177,11.20,26.2,15.0,225.8564669
25/06/2017,182,22.10,26.0,3.9,15.25567495
09/07/2017,184,22.10,25.9,3.8,14.56783408
23/07/2017,186,21.50,25.8,4.3,18.72911754
30/07/2017,187,12.20,25.8,13.6,184.5028052
13/08/2017,189,22.00,25.7,3.7,13.64646941
03/09/2017,192,27.70,25.6,-2.1,4.577415065
10/09/2017,193,24.80,25.5,0.7,0.5126223174
24/09/2017,195,11.10,25.4,14.3,205.2603019
01/10/2017,196,17.60,25.4,7.8,60.56534872
08/10/2017,197,23.50,25.3,1.8,3.377656427
