Settimana,N_settimana,Vendite,Vendite predette,Errore Residuo,Errore Quad.
05/01/2014,1,21.30,35.9,14.6,211.9897323
12/01/2014,2,37.90,35.8,-2.1,4.551315947
19/01/2014,3,45.90,35.7,-10.2,104.5839583
26/01/2014,4,31.50,35.6,4.1,16.64739242
02/02/2014,5,20.70,35.5,14.8,218.651616
23/02/2014,8,44.20,35.2,-9.0,80.87175516
09/03/2014,10,31.80,35.0,3.2,10.37246078
16/03/2014,11,36.20,34.9,-1.3,1.61955664
23/03/2014,12,26.10,34.8,8.7,76.28508718
30/03/2014,13,36.20,34.7,-1.5,2.129016779
06/04/2014,14,36.40,34.6,-1.8,3.070778144
13/04/2014,15,21.20,34.6,13.4,178.339676
27/04/2014,17,22.00,34.4,12.4,152.9647241
04/05/2014,18,23.90,34.3,10.4,107.6332035
11/05/2014,19,29.60,34.2,4.6,20.98916924
18/05/2014,20,35.20,34.1,-1.1,1.236220899
25/05/2014,21,33.70,34.0,0.3,0.08696410394
01/06/2014,22,25.10,33.9,8.8,77.46901188
08/06/2014,23,33.90,33.8,-0.1,0.008390609983
15/06/2014,24,23.60,33.7,10.1,102.3162839
22/06/2014,25,26.10,33.6,7.5,56.57902002
29/06/2014,26,37.30,33.5,-3.8,14.2230494
06/07/2014,27,30.00,33.4,3.4,11.80201195
13/07/2014,28,34.70,33.3,-1.4,1.843737275
20/07/2014,29,20.50,33.2,12.7,162.5346706
27/07/2014,30,33.10,33.2,0.1,0.003098044868
03/08/2014,31,23.20,33.1,9.9,97.26716183
10/08/2014,32,28.40,33.0,4.6,20.87725091
17/08/2014,33,34.70,32.9,-1.8,3.327287833
24/08/2014,34,20.50,32.8,12.3,150.8638841
31/08/2014,35,29.00,32.7,3.7,13.61180135
07/09/2014,36,23.60,32.6,9.0,80.93105596
14/09/2014,37,22.40,32.5,10.1,102.0690014
21/09/2014,38,28.70,32.4,3.7,13.76166575
28/09/2014,39,31.10,32.3,1.2,1.479685884
05/10/2014,40,30.60,32.2,1.6,2.634696684
12/10/2014,41,33.10,32.1,-1.0,0.9410428726
26/10/2014,43,25.20,31.9,6.7,45.47383894
02/11/2014,44,34.10,31.9,-2.2,5.061686453
09/11/2014,45,29.80,31.8,2.0,3.829583928
16/11/2014,46,31.30,31.7,0.4,0.1322658732
23/11/2014,47,37.50,31.6,-5.9,35.15973832
30/11/2014,48,39.60,31.5,-8.1,65.98009569
07/12/2014,49,18.30,31.4,13.1,171.1894386
14/12/2014,50,30.40,31.3,0.9,0.793328092
04/01/2015,53,24.70,31.0,6.3,39.82801556
11/01/2015,54,32.90,30.9,-2.0,3.929530774
18/01/2015,55,38.80,30.8,-8.0,63.60944455
25/01/2015,56,32.20,30.7,-1.5,2.157377703
01/02/2015,57,29.70,30.6,0.9,0.8797502554
08/02/2015,58,31.60,30.5,-1.1,1.113654908
01/03/2015,61,31.10,30.3,-0.8,0.6972985722
08/03/2015,62,23.70,30.2,6.5,41.882997
15/03/2015,63,33.00,30.1,-2.9,8.535402371
22/03/2015,64,24.30,30.0,5.7,32.32161711
29/03/2015,65,28.90,29.9,1.0,0.9839883391
05/04/2015,66,42.10,29.8,-12.3,151.3216534
12/04/2015,67,30.40,29.7,-0.7,0.4823791126
19/04/2015,68,32.00,29.6,-2.4,5.701510988
26/04/2015,69,24.90,29.5,4.6,21.33486337
10/05/2015,71,30.80,29.3,-1.5,2.153642128
