Produttore,Vendite_NA,Vendite_EU,Vendite_JP
10TACLE Studios,0.04,0.07,0
1C Company,0.07,0.01,0
20th Century Fox Video Games,0.1,2.22,0
2D Boy,0.03,0,0
3DO,3.04,6.88,0
49Games,0.04,0,0
505 Games,17.63,33.03,2.05
5pb,0,0.02,1.61
7G//AMES,0.06,0,0
989 Sports,0.14,0.21,0
989 Studios,3.7,10.03,0.1
Abylight,0,0.07,0
Acclaim Entertainment,17.15,45.15,1.14
Accolade,0.34,1.25,0
Ackkstudios,0.04,0.13,0.66
Acquire,0,0.14,0.91
Activision,234.33,464.5,6.94
Activision Blizzard,0.36,0.08,0
Activision Value,0.88,5.53,0
Adeline Software,0.07,0.1,0
Aerosoft,0.02,0.01,0
Agatsuma Entertainment,0.02,0.22,0.06
Agetec,0.58,0.78,0.38
Aksys Games,0.01,0.19,0.18
Alawar Entertainment,0.04,0,0
Alchemist,0.46,0.59,1.42
Alternative Software,0.18,0,0
Altron,0.02,0.05,0
Alvion,0,0,0.04
American Softworks,0.09,0.13,0
Angel Studios,0,0,0.44
Answer Software,0.03,0.46,0
AQ Interactive,0.06,0.34,0.11
Aqua Plus,0,0.05,1.19
Aques,0,0,0.15
Arc System Works,0,0.78,0.57
Arena Entertainment,1.28,4.5,0
Aria,0,0,0.07
Arika,0.03,0.04,0.02
ArtDink,0.05,0.07,0.59
Aruze Corp,0,0,1.09
ASC Games,0.77,1.52,0
Ascaron Entertainment,0.01,0,0
Ascaron Entertainment GmbH,0.09,0,0
ASCII Entertainment,0.44,0.7,10.2
ASCII Media Works,0,0,0.27
Asgard,0,0,0.25
ASK,0,0,0.03
Asmik Ace Entertainment,0,0,0.22
Asmik Corp,0,0,0.17
Aspyr,0.04,0.55,0
Astragon,0.32,0.24,0
Asylum Entertainment,0.43,0.09,0
Atari,27.52,119.24,11.91
Athena,0,0.02,0.07
Atlus,1.1,4.2,6.73
Avalon Interactive,0.12,0.34,0
Avanquest,1.62,1.12,0
Avanquest Software,0.53,0.95,0.03
Axela,0,0,0.24
BAM! Entertainment,1.45,3.16,0.03
Banpresto,0.2,0.41,17.64
Benesse,0,0.01,0.32
Berkeley,0.01,0.02,0
Bethesda Softworks,33.93,42.52,1.45
Big Ben Interactive,0.13,1.18,0
Big Fish Games,0.04,0,0
Bigben Interactive,0.62,0.1,0
bitComposer Games,0.2,0.16,0
Black Bean Games,1.56,1.28,0.01
Black Label Games,0.46,0.59,0
Blast! Entertainment Ltd,0.11,0.23,0
Blue Byte,0.03,0,0
BMG Interactive Entertainment,0.44,0.67,0
Bohemia Interactive,0.1,0,0
Bomb,0.01,0.21,0
Boost On,0,0,0.01
BPS,0,0,0.52
Brash Entertainment,0.21,0.89,0
Broccoli,0,0,0.96
BushiRoad,0,0,0.03
Capcom,43.62,88.59,73.68
Cave,0,0.14,0.18
CBS Electronics,0.02,0.29,0
CCP,0.19,0,0
CDV Software Entertainment,0.06,0.11,0
ChunSoft,0,0.37,4.41
City Interactive,2.27,1.7,0.07
Cloud Imperium Games Corporation,0,0.08,0
Coconuts Japan,0.01,0.01,0.05
Codemasters,31.09,11.92,0.83
Codemasters Online,0.02,0,0
CokeM Interactive,0,0.29,0
Coleco,0.17,2.87,0
Comfort,0,0,0.15
Commseed,0,0,0.01
Compile,0,0,2.35
Compile Heart,0.03,0.5,0.77
Conspiracy Entertainment,0.14,0.63,0
Core Design Ltd.,0.11,0.16,0
CPG Products,0.03,0.5,0
Crave Entertainment,1.87,7.31,0.45
Creative Core,0,0,0.1
Crimson Cow,0.06,0,0
Crystal Dynamics,0.65,0.95,0
CTO SpA,0.34,0.5,0
Culture Brain,0,0,0.27
Culture Publishers,0.03,0.05,0
CyberFront,0,0.01,0.26
Cygames,0,0,0.03
D3Publisher,5.41,11.92,5.05
Daedalic,0.24,0,0
Daedalic Entertainment,0.11,0,0
Daito,0,0,0.23
Data Age,0.04,0.66,0
Data Design Interactive,0.01,0.25,0
Data East,0,0,0.15
Datam Polystar,0,0,0.03
Deep Silver,9.76,13.13,1.09
"Destination Software, Inc",0.08,0.75,0
Destineer,0.05,4.06,0
Detn8 Games,0,0.21,0
Devolver Digital,0.04,0,0
DHM Interactive,0,0.16,0
DigiCube,0,0,0.06
Disney Interactive Studios,38.24,78.14,0.56
Dorart,0,0,0.03
dramatic create,0,0,0.11
DreamCatcher Interactive,0.14,0.75,0
DreamWorks Interactive,0.05,0.07,0
DSI Games,0.04,0.29,0
DTP Entertainment,1.43,1.62,0.02
Dusenberry Martin Racing,0,0.05,0
EA Games,0.06,0.07,0
Easy Interactive,0.03,0,0
Ecole,0,0,0.06
Edia,0,0,0.09
Eidos Interactive,38.43,53.59,6.11
Electronic Arts,401.27,673.07,14.04
Electronic Arts Victor,0.17,0.23,0
Elf,0,0,0.64
Elite,0.03,0.04,0
Empire Interactive,3.77,6.03,0.42
Encore,0.03,0.04,0
Enix Corporation,0.31,0.76,35.2
Enjoy Gaming ltd.,0,0.09,0
Enterbrain,0.1,0.12,1.94
EON Digital Entertainment,0,0.01,0
Epic Games,0,0.01,0
Epoch,0,0,0.99
Ertain,0,0.05,0
ESP,0.02,0.03,0.54
Essential Games,0,0.01,0.22
Evolution Games,0,0,0.06
Evolved Games,0.04,0.26,0
Excalibur Publishing,0.24,0,0
Experience Inc.,0,0,0.06
Extreme Entertainment Group,0,0.02,0.01
Falcom Corporation,0,0.28,0.91
Fields,0,0,0.03
Flashpoint Games,0.01,0.07,0
Flight-Plan,0,0,0.12
Focus Home Interactive,4.69,1.72,0.04
Focus Multimedia,0.05,0,0
fonfun,0,0,0.02
Foreign Media Games,0.3,0.27,0
Fortyfive,0,0,0.06
Fox Interactive,3.59,4.16,0
From Software,0.21,0.35,0.99
Fuji,0,0,0.03
Funbox Media,0.13,0.71,0
Funcom,0.1,0.07,0
FunSoft,0.05,0.07,0
Funsta,0.05,0.13,0
FuRyu,0.02,0.11,1.17
FuRyu Corporation,0,0.02,0
G.Rev,0,0,0.04
Gaga,0,0,0.02
Gainax Network Systems,0,0,0.16
Gakken,0,0,0.04
Game Arts,0,0,0.14
Game Factory,0.2,3.71,0
Game Life,0.13,0.13,0
Gamebridge,0.13,0.3,0.24
Gamecock,0.02,0.16,0
Gameloft,0,0.1,0
GameMill Entertainment,0.04,1.28,0
GameTek,0.02,0.08,0
Gathering of Developers,0.47,0.61,0
General Entertainment,0,0,0.13
Genki,0.35,0.49,0.52
Genterprise,0,0,0.01
Ghostlight,0.46,1.22,0.89
Giga,0,0,0.02
Giza10,0,0,0.02
Glams,0,0,0.08
Global A Entertainment,0,0.13,0.01
Global Star,1.71,5.65,0
GN Software,0,0,0.05
GOA,0.02,0,0
Gotham Games,1.24,2.67,0
Graffiti,0,0.36,0
Grand Prix Games,0,0,0.06
Graphsim Entertainment,0.02,0,0
Gremlin Interactive Ltd,0.37,0.66,0
Griffin International,0,0.08,0
Groove Games,0.02,0.07,0
GSP,2.56,1.16,0
GT Interactive,8.49,17.57,0.02
GungHo,0.02,0.84,2.18
Gust,0.05,0.15,0.84
Hackberry,0,0,0.31
HAL Laboratory,0,0.06,0
Hamster Corporation,0.11,0.16,0.02
Happinet,0,0,0.18
Harmonix Music Systems,0.09,0.6,0
Hasbro Interactive,3.98,12.19,0
Havas Interactive,0.09,0.01,0
Headup Games,0.03,0,0
Hearty Robin,0,0,0.08
Hect,0,0,0.5
Hello Games,1.14,0.58,0.02
Her Interactive,0,0.03,0
Hip Interactive,0.09,0.26,0
HMH Interactive,0.11,0,0
Home Entertainment Suppliers,0.49,0.09,0
Hudson Entertainment,0.05,0.33,1.61
Hudson Soft,0.94,2.55,20.41
Human Entertainment,0.04,0.06,2.82
HuneX,0,0,0.03
Iceberg Interactive,0.05,0.02,0
id Software,0,0.02,0
Idea Factory,0.05,0.53,3.32
Idea Factory International,0.08,0.23,0.2
IE Institute,0,0,1.36
Ignition Entertainment,1.36,4.03,0.68
Illusion Softworks,0.27,0.34,0
Imadio,0,0,0.14
Image Epoch,0,0,0.1
imageepoch Inc.,0,0,0.04
Imageworks,0,0,0.02
Imagic,0.27,5.31,0
Imagineer,0.03,0.09,2.53
Imax,0,0,0.06
Indie Games,0.07,0.09,0.14
Infogrames,4.6,10.5,0.38
Insomniac Games,0,0.1,0
Interchannel,0,0,0.1
Interchannel-Holon,0,0,0.01
Intergrow,0,0,0.03
Interplay,2.27,3.86,0.01
Interplay Productions,0.04,0.05,0
"Interworks Unlimited, Inc.",0,0.01,0
Inti Creates,0,0,0.01
Introversion Software,0.01,0.01,0
inXile Entertainment,0.06,0.02,0
Irem Software Engineering,0.01,0.12,0.31
ITT Family Games,0.02,0.32,0
Ivolgamus,0,0.03,0
iWin,0.05,0,0
Jack of All Games,0.1,0.31,0
Jaleco,0.42,0.79,0.64
Jester Interactive,0.29,0.7,0
Jorudan,0,0,0.93
JoWood Productions,0.48,0.87,0.01
Just Flight,0.03,0,0
JVC,0.34,2.25,0.12
Kadokawa Games,0,0,0.58
Kadokawa Shoten,0.31,0.46,2.93
Kaga Create,0,0,0.14
Kalypso Media,1.06,1,0.09
Kamui,0,0,0.03
Kando Games,0.01,0.02,0
Karin Entertainment,0,0,0.02
Kemco,0.49,1.61,0.05
KID,0,0,0.08
Kids Station,0,0,0.03
King Records,0,0,0.02
Knowledge Adventure,0.16,1.23,0
Koch Media,1.6,2.71,0
